Number,Date,Time_code,Time,Name,ID_Type,Photo,LAT,LONG,S_F_R,Number,H_V,D_T_C
245,04/05/2009,1,09:56,JACK,HEAD,IMG_0191,20.39351667,-87.31466667,F,,,
246,04/05/2009,1,09:56,RODDY,HEAD,IMG_0192/93,20.39351667,-87.31466667,F,,,
247,04/05/2009,1,09:56,AMAPOLA,HEAD,IMG_0194-96,20.39351667,-87.31466667,F,,,
248,04/05/2009,2,12:57,WINSTON,HEAD,IMG_0197-201,20.39406667,-87.31345,F,,,
249,04/05/2009,2,13:00,LENNON,HEAD,IMG_0202-206,20.39405,-87.3136,F,,,
250,04/05/2009,2,13:05,RAMON,HEAD,IMG_0207/208,20.39466667,-87.31421667,S,,,
251,04/05/2009,3,16:43,SPLIT,HEAD,IMG_0211/212,20.39388333,-87.31241667,S,,,
253,04/05/2009,3,16:56,BITSY,HEAD,IMG_0213-215,20.39468333,-87.31341667,F,,,
255,04/05/2009,3,17:05,FRANKIE,CARAPACE,IMG_0216/17,20.39443333,-87.31356667,F,,,
256,04/05/2009,3,17:05,RAMON,HEAD,IMG_0218/19,20.39443333,-87.31356667,F,,,
257,04/05/2009,3,17:14,QUE ONDA,HEAD,IMG_0220-23,20.39473333,-87.31395,F,,,
258,04/05/2009,3,17:14,LOUIS,HEAD,IMG_0225/26,20.39473333,-87.31395,F,,,
259,04/05/2009,3,17:22,ZAC,HEAD,IMG_0227-31,20.39418333,-87.31376667,F,,,
260,04/05/2009,3,17:22,WINSTON,HEAD,IMG_0232,20.39418333,-87.31376667,F,,,
261,04/05/2009,3,17:25,LENNON,HEAD,IMG_0233/34,20.39408333,-87.31371667,F,,,
262,04/05/2009,3,17:31,VEX,CARAPACE,IMG_0235/36,20.39388333,-87.31416667,F,,,
263,04/05/2009,3,17:32,DAMA,HEAD,IMG_0237/38,20.39463333,-87.31426667,F,,,
264,07/05/2009,1,09:20,LOUIS,HEAD,IMG_0217/18,20.39421667,-87.31301667,S,,,
265,07/05/2009,1,09:26,LUNA LLENA,CARAPACE,IMG_0219/20/21,20.39383333,-87.31305,S,,,
268,07/05/2009,1,09:49,RAYA,HEAD,IMG_0222/23,20.39393333,-87.31376667,F,,,
269,07/05/2009,1,09:52,LENNON,HEAD,IMG_0224/25,20.39446667,-87.31451667,F,,,
270,07/05/2009,1,09:54,BLACKNOSE,HEAD,IMG_0226/227,20.3947,-87.31448333,S,,,
271,07/05/2009,1,10:01,SCAR,CARAPACE,IMG_0230/31/32,20.39458333,-87.31463333,S,,,
272,07/05/2009,1,10:01,LIZ,HEAD,IMG_0233,20.39458333,-87.31463333,S,,,
273,07/05/2009,2,12:40,ANTONIO,HEAD,IMG_0234/5,20.39506667,-87.3134,F,,,
274,07/05/2009,2,13:23,WOODY,HEAD,IMG0239/40,20.39526667,-87.31431667,F,,,
276,07/05/2009,3,16:47,DOT,CARAPACE,IMG_0243,20.3946,-87.3134,S,,,
277,07/05/2009,3,16:55,SPLIT,CARAPACE,IMG_0244/45,20.39436667,-87.31351667,F,,,
278,07/05/2009,3,16:55,FRANKIE,HEAD,IMG_0246/47,20.39436667,-87.31351667,F,,,
279,07/05/2009,3,16:58,NAOMI,HEAD,IMG_0248/249,20.39453333,-87.31355,F,,,
280,07/05/2009,3,17:02,ZIGGY,HEAD,IMG_0253/54,20.3947,-87.31363333,F,,,
281,07/05/2009,3,17:09,QUE ONDA,HEAD,IMG_0255/56,20.3947,-87.31386667,F,,,
282,07/05/2009,3,17:09,RAYA,HEAD,IMG_0257/58,20.3947,-87.31386667,F,,,
283,07/05/2009,3,17:14,JUANITA,CARAPACE,IMG_0263/64/67/68,20.39406667,-87.31376667,F,,,
284,07/05/2009,3,17:14,VEX,HEAD,IMG_0263/64/65,20.39406667,-87.31376667,F,,,
285,07/05/2009,3,17:14,MARIO,HEAD,IMG_0266,20.39406667,-87.31376667,F,,,
286,07/05/2009,3,17:21,NOMAD,HEAD,IMG_0269/70,20.39473333,-87.31426667,F,,,
287,07/05/2009,3,17:21,LUNA LLENA,CARAPACE,IMG_0271,20.39473333,-87.31426667,F,,,
288,07/05/2009,3,17:21,JACK,HEAD,IMG_0272,20.39473333,-87.31426667,F,,,
289,07/05/2009,3,17:21,VENUS,HEAD,IMG_0275,20.39473333,-87.31426667,F,,,
290,11/05/2009,1,09:16,UNOMAS,CARAPACE,IMG_0217/18,20.39421667,-87.31221667,S,,,
291,11/05/2009,1,09:25,BLACKNOSE,HEAD,IMG_0219/20/21,20.39495,-87.3137,R,,,
292,11/05/2009,1,09:34,WINSTON,HEAD,IMG_0222/23,20.3942,-87.3137,S,,,
293,11/05/2009,1,09:36,WUZZY,HEAD,IMG_0224/25,20.39423333,-87.31358333,F,,,
294,11/05/2009,1,09:39,ZAC,HEAD,IMG_0226/27,20.3954,-87.31371667,S,,,
295,11/05/2009,1,09:47,ASTRO,CARAPACE,IMG_0228-233,20.39553333,-87.31403333,S,,,
296,11/05/2009,1,09:49,WOODY,HEAD,IMG_0234/235,20.39541667,-87.31415,S,,,
297,11/05/2009,1,09:55,HEX,HEAD,IMG_0238/239,20.3951,-87.31428333,F,,,
298,11/05/2009,1,09:55,ANGEL,HEAD,IMG_0240,20.3951,-87.31428333,F,,,
299,11/05/2009,1,09:59,JOAQUIN,HEAD,IMG_0246/247,20.3948,-87.31426667,F,,,
300,11/05/2009,1,09:59,ZIGGY,HEAD,IMG_0248/249,20.3948,-87.31426667,F,,,
301,11/05/2009,1,10:03,QUE ONDA,HEAD,IMG_0250/251,20.3945,-87.31431667,F,,,
302,11/05/2009,1,10:11,LENNON,HEAD,IMG_0256/257,20.39401667,-87.31366667,S,,,
303,11/05/2009,1,10:11,LIRIO,HEAD,IMG_0258/259,20.39401667,-87.31366667,F,,,
304,11/05/2009,1,10:19,JACK,CARAPACE,IMG_0260/61/62/64,20.39438333,-87.3146,F,,,
305,11/05/2009,1,10:19,NOMAD,HEAD,IMG_0165,20.39438333,-87.3146,F,,,
306,11/05/2009,1,10:19,AMAPOLA,HEAD,IMG_0266-269,20.39438333,-87.3146,F,,,
307,11/05/2009,2,13:21,FRANKIE,CARAPACE,IMG_0270-274,20.39435,-87.31371667,F,,,
308,11/05/2009,2,13:26,VEX,HEAD,IMG_0275-279,20.39423333,-87.3134,S,,,
309,11/05/2009,2,13:30,LIZ,HEAD,IMG_0280-283,20.39403333,-87.31363333,F,,,
310,11/05/2009,2,13:36,ZIGGY,HEAD,IMG_0284-288,20.3949,-87.31443333,F,,,
311,11/05/2009,2,13:39,QUE ONDA,HEAD,IMG_0289-293,20.39458333,-87.31441667,S,,,
318,11/05/2009,3,16:56,ZIGGY,HEAD,IMG_0305/306,20.3951,-87.3133,F,,,
319,11/05/2009,3,17:01,BLACKNOSE,HEAD,IMG_0307/308,20.39498333,-87.31368333,R,,,
320,11/05/2009,3,17:04,BITSY,HEAD,IMG_0309/310,20.39465,-87.31343333,F,,,
321,11/05/2009,3,17:15,HEX,HEAD,IMG_0311/312,20.39473333,-87.31375,S,,,
322,11/05/2009,3,17:27,LENNON,HEAD,IMG_0317,20.39396667,-87.31395,S,,,
326,14/05/2009,1,09:04,ANTONIO,,IMG_0027,20.39375,-87.3126,S,,,
327,14/05/2009,1,09:09,BLACKNOSE,HEAD,IMG_0030-32,20.39496667,-87.31326667,R,,,
328,14/05/2009,1,09:33,WUZZY,HEAD,IMG_0033/34,20.39438333,-87.31376667,F,,,
329,14/05/2009,1,09:41,ASTRO,CARAPACE,IMG_0035,20.39548333,-87.31405,S,,,
330,14/05/2009,1,09:41,RATTY,HEAD,IMG_0036/37,20.39548333,-87.31405,S,,,
331,14/05/2009,1,09:41,CHARLIE,CARAPACE,IMG_0038-40,20.39548333,-87.31405,S,,,
332,14/05/2009,1,09:48,PLUTO,CARAPACE,IMG_0041/42,20.39483333,-87.31403333,R,,,
333,14/05/2009,1,09:54,SCAR,CARAPACE,IMG_0043/44,20.3942,-87.31373333,F,,,
334,14/05/2009,1,09:58,VEX,HEAD,IMG_0046/47,20.39405,-87.31358333,F,,,
335,14/05/2009,1,09:58,LIRIO,HEAD,IMG_0048/49,20.39405,-87.31358333,F,,,
336,14/05/2009,1,10:05,AMAPOLA,CARAPACE,IMG_0052,20.39458333,-87.31428333,F,,,
337,14/05/2009,1,10:05,ZIGGY,HEAD,IMG_0053,20.39458333,-87.31428333,F,,,
338,14/05/2009,1,10:05,SPEEDY GONZALEZ,HEAD,IMG_0054,20.39458333,-87.31428333,F,,,
340,14/05/2009,2,12:45,HEX,HEAD,IMG_0056,20.39395,-87.31265,S,,,
341,14/05/2009,2,12:47,AMAPOLA,HEAD,IMG_0057-59,20.39395,-87.3126,S,,,
342,14/05/2009,2,12:55,JACK,HEAD,IMG_0060/61,20.39501667,-87.3137,R,,,
343,14/05/2009,2,12:56,ZIGGY,HEAD,IMG_0062-64,20.39508333,-87.31356667,S,,,
345,14/05/2009,2,12:58,BLACKNOSE,HEAD,IMG_0067/68,20.39518333,-87.3137,F,,,
346,14/05/2009,2,13:16,LIZ,HEAD,IMG_0072-76,20.39498333,-87.31428333,S,,,
347,14/05/2009,2,13:18,JOAQUIN,CARAPACE,IMG_0077,20.3949,-87.31446667,F,,,
348,14/05/2009,2,13:21,PLUTO,CARAPACE,IMG_0078-81,20.39453333,-87.31441667,S,,,
363,18/05/2009,1,09:10,PLUTO,HEAD,IMG_0065/66,20.39378333,-87.31256667,R,,,
